Item,,,,,,
Apple Juice,,NON ALCOHOL,,322,"$1,196.00 ","$1,196.00 "
Arnold Palmer,,NON ALCOHOL,,157,$471.00 ,$471.00 
Bottled Water,,NON ALCOHOL,,5,$15.00 ,$15.00 
Coffee,,NON ALCOHOL,,665,"$1,984.20 ","$1,995.00 "
Cranberry Juice,,NON ALCOHOL,,21,$79.00 ,$79.00 
Goslings Ginger Beer,,NON ALCOHOL,,101,$404.00 ,$404.00 
Guava Juice,,NON ALCOHOL,,951,"$3,436.50 ","$3,443.00 "
Hot Chocolate,,NON ALCOHOL,,24,$72.00 ,$72.00 
Hot Tea,,NON ALCOHOL,,280,$840.00 ,$840.00 
Iced tea,,NON ALCOHOL,,1199,"$3,597.00 ","$3,597.00 "
Milk,,NON ALCOHOL,,108,$324.00 ,$324.00 
Orange Juice,,NON ALCOHOL,,190,$702.00 ,$702.00 
Pineapple Juice,,NON ALCOHOL,,641,"$1,921.05 ","$1,923.00 "
Soda,,NON ALCOHOL,,7008,"$20,999.40 ","$21,024.00 "
Soda Water,,NON ALCOHOL,,229,$687.00 ,$687.00 
TOMATO JUICE,,NON ALCOHOL,,1,$3.00 ,$3.00 
Total,,,,11902,"$36,731.15 ","$36,775.00 "
